X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-07,2.000000e-10
479,8.00e-04,
480,8.00e-04,
481,8.00e-04,
482,8.00e-04,
483,8.00e-04,
484,8.00e-04,
485,8.00e-04,
486,4.00e-04,
487,4.00e-04,
488,4.00e-04,
489,4.00e-04,
490,4.00e-04,
491,4.00e-04,
492,0.00e+00,
493,0.00e+00,
494,4.00e-04,
495,4.00e-04,
496,8.00e-04,
497,8.00e-04,
498,4.00e-04,
499,4.00e-04,
500,4.00e-04,
501,4.00e-04,
502,4.00e-04,
503,4.00e-04,
504,4.00e-04,
505,4.00e-04,
506,0.00e+00,
507,0.00e+00,
508,8.00e-04,
509,8.00e-04,
510,4.00e-04,
511,4.00e-04,
512,8.00e-04,
513,8.00e-04,
514,8.00e-04,
515,8.00e-04,
516,8.00e-04,
517,8.00e-04,
518,0.00e+00,
519,0.00e+00,
520,4.00e-04,
521,4.00e-04,
522,4.00e-04,
523,4.00e-04,
524,4.00e-04,
525,4.00e-04,
526,8.00e-04,
527,8.00e-04,
528,8.00e-04,
529,8.00e-04,
530,8.00e-04,
531,8.00e-04,
532,4.00e-04,
533,4.00e-04,
534,8.00e-04,
535,8.00e-04,
536,0.00e+00,
537,0.00e+00,
538,0.00e+00,
539,0.00e+00,
540,0.00e+00,
541,0.00e+00,
542,0.00e+00,
543,0.00e+00,
544,8.00e-04,
545,8.00e-04,
546,4.00e-04,
547,4.00e-04,
548,0.00e+00,
549,0.00e+00,
550,-4.00e-04,
551,-4.00e-04,
552,-1.60e-03,
553,-1.60e-03,
554,-2.80e-03,
555,-2.80e-03,
556,-4.80e-03,
557,-4.80e-03,
558,-6.80e-03,
559,-6.80e-03,
560,-1.00e-02,
561,-1.00e-02,
562,-1.32e-02,
563,-1.32e-02,
564,-1.64e-02,
565,-1.64e-02,
566,-1.92e-02,
567,-1.92e-02,
568,-2.16e-02,
569,-2.16e-02,
570,-2.40e-02,
571,-2.40e-02,
572,-2.64e-02,
573,-2.64e-02,
574,-2.84e-02,
575,-2.84e-02,
576,-3.12e-02,
577,-3.12e-02,
578,-3.20e-02,
579,-3.20e-02,
580,-3.36e-02,
581,-3.36e-02,
582,-3.36e-02,
583,-3.36e-02,
584,-3.28e-02,
585,-3.28e-02,
586,-3.24e-02,
587,-3.24e-02,
588,-3.04e-02,
589,-3.04e-02,
590,-2.88e-02,
591,-2.88e-02,
592,-2.72e-02,
593,-2.72e-02,
594,-2.56e-02,
595,-2.56e-02,
596,-2.40e-02,
597,-2.40e-02,
598,-2.24e-02,
599,-2.24e-02,
600,-2.08e-02,
601,-2.08e-02,
602,-1.88e-02,
603,-1.88e-02,
604,-1.68e-02,
605,-1.68e-02,
606,-1.52e-02,
607,-1.52e-02,
608,-1.32e-02,
609,-1.32e-02,
610,-1.20e-02,
611,-1.20e-02,
612,-1.08e-02,
613,-1.08e-02,
614,-9.60e-03,
615,-9.60e-03,
616,-8.40e-03,
617,-8.40e-03,
618,-7.60e-03,
619,-7.60e-03,
620,-6.80e-03,
621,-6.80e-03,
622,-5.60e-03,
623,-5.60e-03,
624,-4.80e-03,
625,-4.80e-03,
626,-4.40e-03,
627,-4.40e-03,
628,-4.00e-03,
629,-4.00e-03,
630,-2.80e-03,
631,-2.80e-03,
632,-2.80e-03,
633,-2.80e-03,
634,-2.00e-03,
635,-2.00e-03,
636,-1.60e-03,
637,-1.60e-03,
638,-1.20e-03,
639,-1.20e-03,
640,-1.20e-03,
641,-1.20e-03,
642,-1.20e-03,
643,-1.20e-03,
644,-1.20e-03,
645,-1.20e-03,
646,-1.20e-03,
647,-1.20e-03,
648,-8.00e-04,
649,-8.00e-04,
